"Spot","CH","POS.start","POS.end","GBM31"
33575,13,19822612,19823007,0.0198940268
4666,13,19864835,19865208,0.5007529241
27984,13,20073537,20074143,0.4689070431
9289,13,21037531,21037754,0.212723345
24208,13,21479383,21479752,-0.39171836
13965,13,21696898,21697301,-0.6609022163
4390,13,21702308,21702846,-0.5950244255
19667,13,21702324,21702810,-0.2098948126
10402,13,21781968,21782360,-0.0195749437
25812,13,21925180,21925427,-0.8138131465
39005,13,22024927,22025145,0.363890611
36009,13,22042988,22043274,-0.5785569965
21518,13,22047768,22048231,-0.6496068743
35831,13,22102327,22178115,-0.2647990863
14355,13,22254855,22255092,0.0196444116
10744,13,22636975,22637389,-0.430958981
33876,13,22636975,22637389,-0.5387413518
15965,13,22678370,22678964,-0.0687611302
7928,13,22700919,22701170,-0.241757609
33188,13,22793069,22798728,-1.2399594761
6745,13,22794804,22795246,-0.066414576
21459,13,22874361,22874805,-0.17594785
4776,13,22969206,22969507,-0.4195800876
30829,13,23128462,23128952,-0.0650387381
7149,13,23255176,23256222,-0.4088575638
35079,13,23281974,23284216,-0.5080166849
13454,13,23538203,23538707,-0.2747881928
9158,13,23540665,23541092,-0.7070177064
12735,13,23540672,23541012,-0.4273714116
27907,13,23620256,23620625,-0.7279490447
3077,13,23712899,23713349,0.2491336813
22845,13,23714127,23714543,-0.1531070428
11284,13,24386981,24387270,-0.0530427424
21529,13,24386981,24387270,-0.0137093786
8584,13,24394057,24394523,-0.8521334212
14561,13,24395756,24396203,-0.6185012579
16084,13,24397822,24397987,-0.5561477011
28111,13,24585673,24585871,-0.316724699
38931,13,24635948,24636268,0.1825483919
7047,13,24776972,24777732,-0.2393640321
895,13,25060674,25061065,-0.2837808256
16389,13,25129155,25129485,-0.6049348228
21266,13,25417883,25418169,-0.3493748891
12705,13,25439274,25439818,0.2138260274
31592,13,25444251,25444730,-0.3313105937
37270,13,25608418,25608948,-0.6363958184
29471,13,25615333,25615615,-0.7466852999
1635,13,25625898,25628417,0.1035945753
29751,13,25627435,25628647,0.797567364
33933,13,25627435,25628647,-0.435125558
34789,13,25627435,25628647,0.0555195185
32947,13,25643114,25645352,-0.3325273616
6454,13,25807783,25812181,-0.3714792485
9194,13,25810945,25811310,-0.138703453
40211,13,25995014,25995536,-0.0621802458
22600,13,26037948,26038360,0.0386976899
38526,13,26038136,26038461,-0.3563863994
14400,13,26333056,26333589,-0.1011244472
26932,13,26333056,26333589,-0.100021941
41713,13,26333056,26333645,-0.0618680688
12948,13,26335196,26337153,-0.2488773502
27880,13,26335416,26340888,-0.264386579
14700,13,26341000,26341402,0.5054139345
21814,13,26375410,26376065,-0.3110939633
35080,13,26558740,26559170,-0.0188405535
5031,13,26592990,26593488,-0.565258285
31635,13,26603876,26604621,0.1305950808
16335,13,26646193,26646635,-0.7546605649
5937,13,26650982,26651118,-0.4998440441
39324,13,26672483,26673097,0.2622031748
2644,13,26674369,26674596,-0.4792913642
19637,13,26680735,26681167,-0.2188693306
17617,13,26757020,26757170,-0.433779378
14188,13,26757785,26758199,-0.1395228748
4134,13,26759859,26760230,-0.4153390024
17605,13,26760924,26761353,-0.1922224463
12378,13,27031260,27040713,-0.1606271253
13453,13,27033035,27033448,0.2234986449
14530,13,27050607,27050999,-0.3916068133
31690,13,27072847,27073298,-0.5272627952
40382,13,27882716,27883166,0.0467520968
15995,13,27884625,27884873,-0.5293021417
41046,13,27908133,27967721,0.1436686976
32646,13,28136544,28136980,-0.2460196625
34752,13,28146909,28147346,-0.2113131685
24819,13,28149290,28221749,-0.5856736856
18545,13,28149345,28222089,-0.1215548234
5854,13,28574767,28574917,-0.6657346677
12883,13,28580176,28580637,-0.6055328662
787,13,28627676,28679577,-0.3389426194
37327,13,28627699,28679577,-0.415710809
20447,13,28688496,28692005,-0.279780777
33106,13,28830930,28831301,-0.5223659134
20103,13,28834712,28835831,-0.3844789518
32912,13,28836443,28836800,0.5456172418
10414,13,28929087,28929364,0.6636028199
28346,13,28929087,28929364,-0.0669392098
9416,13,28936091,28936415,-0.3833666961
17564,13,29031308,29031685,-0.5802151296
4519,13,29031389,29031687,0.7933683173
25461,13,29116258,29136257,-0.536733614
419,13,29297146,29297709,-0.4409419301
35758,13,29510561,29510995,-0.5913226012
10732,13,29703261,29703657,-0.736566962
40568,13,29703432,29703655,-0.3964284304
38555,13,29703937,29704405,-0.3188755332
4049,13,29704037,29704409,-0.6776247277
11049,13,30125764,30126304,-0.0899976856
30595,13,30403660,30404081,0.3486040171
3075,13,30415821,30416199,-1.843575766
29649,13,30668374,30668761,0.0483032896
40873,13,30735409,30743204,-0.3600729551
7855,13,30770051,30770416,-0.2793842591
11179,13,30772852,30773255,-0.428073901
33211,13,30773796,30774115,-1.7576384307
11503,13,30798055,30798579,-0.2770121061
19298,13,30804928,30810853,-0.2292324482
3644,13,30811494,30811993,-0.6649802971
29599,13,30868487,30868908,-0.5636418636
10577,13,30889030,30889469,-0.8311765439
21683,13,30897706,30898163,-0.015430675
13958,13,30897734,30898165,0.0916327765
32154,13,30897795,30898169,0.1768094653
29269,13,30900415,30900887,0.0944046035
33806,13,30904753,30905503,-0.0798995405
36559,13,30905676,30906280,-0.1778646028
17170,13,31032542,31033127,-0.2957539246
32994,13,31032542,31033127,0.2954305171
12576,13,31125518,31130344,0.2582742271
4455,13,31147861,31148044,-0.6180588969
23377,13,31377137,31377582,-0.3271217592
24,13,31437902,31438244,0.0877820873
11261,13,31441021,31441384,-0.5208075596
15846,13,31475271,31475628,0.2724012917
11528,13,31478696,31479172,-0.2752434439
12039,13,31546371,31546712,-0.2233299673
26914,13,31647878,31648255,-0.389588643
34570,13,31651707,31653471,-0.6884637569
16376,13,31883466,31896459,-0.6959668075
37873,13,32070950,32071298,-0.054866212
2011,13,32209171,32209632,-0.2627970126
21513,13,32214712,32215208,-0.4100335668
18613,13,32338294,32338690,-0.441826423
25799,13,32597031,32597417,-0.1236245961
37127,13,32905982,32906487,0.0215417232
16218,13,33068962,33071204,0.110024167
32308,13,33846339,33846761,-0.1106042312
952,13,33847757,33848246,-0.2223382971
5594,13,34044405,34044873,-0.4556779428
16338,13,34141126,34141472,-0.6029772205
29530,13,34141126,34141472,0.1785048601
19600,13,34141661,34142052,-0.228445472
21773,13,34143477,34143854,-0.7113956945
19616,13,34218034,34218419,-0.9308389997
40476,13,34278462,34278776,-0.3396505207
7411,13,34391026,34391487,0.0954286113
6773,13,34540353,34540825,-0.4197178904
21349,13,34625941,34669961,-0.1554727606
31807,13,34674371,34674615,-0.1789305643
7203,13,34675161,34675557,-0.822620093
1767,13,34675736,34676075,-0.4549639507
17949,13,34679142,34679466,-0.6737638625
36722,13,34813266,34815006,-0.102472138
6248,13,35191605,35191884,0.0400899026
11439,13,35191605,35199820,-0.0295219704
40271,13,35207479,35207922,-0.0006320984
35971,13,35216967,35217118,-0.194484596
32852,13,35278050,35278518,-0.2477270478
17619,13,35321974,35357877,-0.2188193887
27372,13,35322009,35361671,-0.3676579038
27176,13,35380902,35381526,-1.3280535569
14993,13,35381828,35382272,-0.5102183957
34427,13,35396299,35412793,-0.0027902682
12872,13,35403937,35412731,-0.3601248771
21264,13,35829085,35829417,-0.4248161659
29487,13,35829085,35829417,-0.7249026797
24268,13,35829094,35829420,1.0646427456
27121,13,35934722,35935065,-0.5521194626
39308,13,35934723,35935158,-0.4249203442
32367,13,36733426,36733698,-0.3005858994
40631,13,37382001,37382271,-0.2114704727
36390,13,37383572,37384989,-0.3929408873
5601,13,37411703,37412157,0.2668408476
33430,13,37416934,37417417,0.3281176643
25478,13,37421199,37421643,-0.6685389637
38021,13,37421852,37422242,-0.7939005249
28687,13,37679922,37680316,-0.1364327002
32538,13,37715032,37715572,-0.0171007094
3889,13,37874123,37874610,0.1047974202
1492,13,38103519,38103962,-0.036364667
38864,13,38124069,38124637,-0.2493466316
34503,13,38566892,38567205,-0.4054638361
29430,13,38715461,38715858,-1.0729745786
29234,13,38823538,38823832,-0.3479347223
22134,13,38831468,38831922,-0.0900238814
29122,13,38927900,38928346,-0.3737848642
14828,13,38927905,38928207,-0.6201693499
4499,13,38931980,38932465,-0.2275551129
23462,13,38959305,38959422,-0.3612634476
39294,13,39101438,39121400,-0.4094645962
18306,13,39101438,39126225,-0.9136708734
19020,13,39170807,39171103,-0.5847008104
33606,13,39184162,39184592,-0.3863374384
25527,13,39184175,39184592,-0.3082061741
18031,13,39235121,39235545,-0.1258268993
31682,13,39257785,39258195,-0.0685784031
25075,13,39284028,39284170,-0.3772071907
14600,13,39298158,39298294,-0.2792318986
17497,13,39304167,39304465,-0.0314554956
30580,13,39330975,39354342,-0.14259332
31076,13,39333796,39334049,-0.0431156069
13809,13,39347527,39347993,-0.2101432024
22588,13,39347527,39347993,1.1419495884
32962,13,39429398,39429867,0.2369235254
6856,13,39429511,39429867,-0.1333270724
34760,13,39448231,39455207,-0.1565876374
10081,13,39455723,39456139,-0.5936785942
38243,13,39495080,39495482,0.0245930145
19681,13,39499704,39500063,-0.1210125396
31197,13,39550122,39550573,-0.063780486
9187,13,39561975,39562425,-0.8974789555
39337,13,39562720,39563266,-0.6203132262
18190,13,39564292,39564751,-1.0965147342
27439,13,39565596,39565879,-0.4518231524
22660,13,39589006,39595493,-0.0631060193
9300,13,39839796,39840106,-0.4379231624
7567,13,39840865,39841000,0.5219317899
20445,13,39840909,39842999,-0.5085819814
20916,13,39939394,39939788,-0.1456260911
3037,13,39939795,39940223,-0.5708551531
30981,13,39941789,39942127,-0.7620560617
21420,13,40041121,40041464,0.1266510205
30733,13,40104211,40133334,-0.7663903749
4895,13,40157602,40158046,-0.7831087113
3524,13,40420980,40499688,-0.1637266678
3140,13,40604239,40604606,0.2133142191
24182,13,40614798,40615032,-0.1803863591
1230,13,40614799,40615026,-0.8052900018
27434,13,40672133,40672467,-0.5809818653
27949,13,40686026,40691435,-0.7070402884
9083,13,40692301,40692646,1.0687312683
751,13,40693290,40693718,-0.003050403
2305,13,40970244,40970614,-0.2437037939
28870,13,40979795,40980148,-0.5697316233
5915,13,41093098,41093385,-0.1263022306
39070,13,41162183,41162918,-0.2378562177
37711,13,41213299,41213880,0.0376044851
28577,13,41260121,41260520,-0.7667751371
5435,13,41450751,41479582,-0.3938122476
2968,13,41481037,41481304,-0.3031836565
41226,13,41481485,41481983,-0.0126437291
13784,13,41530965,41531602,-0.4535130574
9063,13,41694519,41716865,-0.4465376221
8585,13,42231952,42247164,0.1747110484
31952,13,42356911,42357404,-0.0778457009
17347,13,42356946,42357404,-0.5209158837
15328,13,42401597,42401992,-0.1132043061
32982,13,42604232,42608195,-0.5721345512
1174,13,42769436,42769849,0.240656986
13418,13,42804278,42804624,-0.3737068515
12202,13,42805659,42806103,-0.4847445249
27004,13,42806591,42807013,-0.4742896068
10952,13,42808286,42808622,-0.3157974761
12060,13,42909244,42909607,-0.3153047897
8671,13,42911902,42912328,-2.195120326
9206,13,42911902,42912328,-0.4494565088
21373,13,42919785,42920220,-0.2158410093
13586,13,42937450,42937980,-0.0587262649
29368,13,42947771,42948183,0.2085812533
2220,13,42950980,42951266,0.0202113851
40847,13,42950980,42951266,-0.2000117876
6851,13,43247718,43248128,-0.4284800683
8627,13,43247841,43248182,0.4004949299
12289,13,43313149,43321887,-0.3714366787
15123,13,43400103,43405743,-0.3647151255
34435,13,43403248,43403679,-0.2472377979
6507,13,43403880,43404060,-0.5438607144
34342,13,43565658,43566116,0.381741178
5802,13,43597422,43597748,0.1622043486
28716,13,43639446,43656079,0.1607291081
29572,13,43639446,43656079,0.078807801
32316,13,43639446,43656079,-0.2599720025
23974,13,43656402,43656810,-0.6140588887
37280,13,43705605,43706032,-0.3940706129
27011,13,43761869,43763496,-0.0929764099
37588,13,43763210,43763880,-0.089451208
23214,13,43763597,43763872,0.1982410203
23389,13,43837770,43837950,0.1919822313
32461,13,43908394,43908746,-0.1120812399
4206,13,44052367,44053026,0.1015848097
19850,13,44276522,44279635,-0.728946453
19630,13,44326600,44326802,-0.3745017933
5963,13,44326603,44326982,-0.3008078335
17887,13,44328670,44329117,-0.9288629857
1316,13,44348931,44349078,-0.2306430847
35206,13,44357816,44375323,-0.5595880013
15836,13,44454580,44477137,0.2372386719
20018,13,44454580,44477137,-0.3704005635
20874,13,44454580,44477137,0.416294015
40446,13,44455116,44455399,-0.3603058736
7090,13,44498096,44498696,-0.4308629005
20863,13,44498436,44498677,-0.2974974329
38475,13,44715103,44715385,-0.5253608259
22465,13,44756309,44756772,-0.4769461403
2436,13,44757315,44757728,-0.1364427848
1633,13,44966037,44966389,-0.2154173707
34537,13,44966167,44966379,0.1235816596
38175,13,44966178,44966389,0.6802776369
17030,13,44981689,44982086,-0.2684222485
21393,13,45094052,45094498,-0.218580683
23898,13,45123411,45123697,-0.2559314724
19771,13,45124621,45125177,-0.4774848042
39395,13,45124807,45125114,-0.6083149111
14268,13,45147519,45147945,-0.3609593617
38967,13,45168906,45169247,-0.7598227876
31403,13,45267440,45267744,0.0882465312
25348,13,45267440,45267916,-0.6405979198
35568,13,45377084,45377353,-0.2736250873
7097,13,46314791,46315268,-0.3499630504
15977,13,46326281,46326694,-0.0001623371
299,13,46418436,46418911,0.7934574537
32657,13,46448098,46448525,-1.0334003991
20389,13,46449051,46453851,-0.8777463503
13269,13,46630261,46633524,-0.4330986843
15682,13,46783274,46783747,-0.5045966125
17618,13,46783294,46783634,-0.5980696979
10543,13,46783558,46783820,-0.9421382711
33189,13,46853555,46854023,-0.0415331499
3782,13,46861099,46861478,-0.8776546474
22413,13,46939734,46940107,-0.4915045551
18734,13,47347127,47347403,-0.417552377
2912,13,47639625,47639920,0.218850801
17083,13,47665396,47665620,-0.8687488992
41355,13,47680786,47681245,-0.5620943221
3194,13,47710220,47710535,-0.7076536063
36855,13,47711813,47749252,-0.0137250961
33507,13,47797407,47797725,-0.2798787
15961,13,47816869,47824025,-0.4855325474
15882,13,47860583,47861655,-0.1920228366
14647,13,47866768,47867135,-0.5281537196
7245,13,47900735,47901113,-0.5766948749
6348,13,47904082,47904421,-0.8352970545
13525,13,48032865,48033102,-0.0266913549
22911,13,48071444,48071847,-0.2222944872
37501,13,48073351,48073781,0.0790503045
711,13,48284841,48285121,-0.2639407175
30849,13,48286584,48286898,-0.3192173402
32292,13,48286805,48293718,-0.7790529533
18812,13,48357532,48357876,-0.8522302529
12216,13,48384853,48385301,-0.3131822855
34282,13,48386120,48386450,0.1105977801
5554,13,48388242,48388689,0.1586513153
3202,13,48388951,48389312,0.0787341689
30831,13,48403736,48404144,-0.6704195309
8451,13,48415573,48415958,0.3103638343
10098,13,48421326,48421655,-0.1601803812
14131,13,48476878,48477794,-0.3628042174
32872,13,48479061,48479355,-1.0833921185
9255,13,48500088,48500531,0.1639735361
34588,13,48864785,48885032,-0.6712088195
18517,13,49302816,49307139,-0.7121504856
13432,13,49311846,49312191,-0.1001211218
10946,13,49366649,49366949,-0.2160275082
6927,13,49366649,49366949,-0.0715327618
40614,13,49656105,49656371,0.0011615667
33747,13,49726001,49726447,-0.0794419069
32722,13,49734484,49734931,-0.3464892625
9302,13,49821246,49821692,-0.3930431047
33015,13,49835788,49836394,0.0607595683
6762,13,50117407,50117880,-0.1659922577
38476,13,50127492,50130434,-0.0536681632
19625,13,50138494,50138930,-0.2430507699
8999,13,50141317,50162192,0.2790384359
25731,13,50142913,50143355,0.0239866411
34550,13,50152895,50153257,-0.8779104407
27665,13,50238070,50238373,-0.1122149048
2277,13,50289422,50289857,-0.0361972542
39883,13,50302413,50304565,-0.0832432262
9602,13,50304810,50305210,-0.5229795701
6108,13,50384550,50400745,-0.3423170394
36702,13,50396986,50400883,-0.4102995895
20560,13,50405749,50406084,-0.8705228044
10524,13,50504779,50505180,0.0036661033
33322,13,50539847,50540269,-0.5111368863
12415,13,50784830,50785394,-0.5309854569
33763,13,50786044,50786489,-0.6415792305
29846,13,50801080,50801389,-0.2087045018
16075,13,50805829,50822697,-0.3869201003
37854,13,50826962,50827432,-0.3517487589
4866,13,50847028,50847289,0.3141587499
36003,13,50848069,50848498,-0.6309515467
18893,13,51003642,51004113,-0.4611811094
39387,13,51029688,51035417,-0.1338009934
16241,13,51067420,51067661,0.2320709474
20375,13,51075871,51076370,-0.7136149532
38741,13,51216112,51216371,0.1903995002
12291,13,51423905,51424178,-0.7380283265
33744,13,51570188,51570676,-0.8255982713
23057,13,53001802,53002093,-0.3444330718
12873,13,56002698,56003059,-0.561154318
13216,13,56097271,56097676,-0.3189167865
23287,13,56098373,56098837,-0.4299804156
31603,13,56100218,56100657,-0.3097974098
25499,13,56100976,56101444,-0.7231501685
33803,13,58038018,58038491,-0.3029318253
2358,13,58384885,58416492,-0.3054260019
13713,13,58474336,58474868,-0.0161914763
11575,13,58769392,58832626,0.2449850492
39535,13,58907674,58908004,-0.7718258306
31845,13,59782226,59782628,-0.1933775014
14616,13,59783561,59784046,-0.3397303207
36356,13,61119741,61120041,-0.3640665941
39448,13,62209423,62209576,0.2240689325
38634,13,64674967,64675402,-0.2649055511
339,13,64704812,64705150,-0.1317083343
41669,13,65596879,65597291,-0.2350602735
12975,13,65596901,65597266,0.1267229106
6140,13,65597972,65598470,-0.2606780778
34298,13,69810098,69810786,-1.2674110544
5541,13,69810101,69810891,-0.640497682
3050,13,69812690,69851452,0.2217710021
12100,13,69834673,69835106,-0.1426836158
17287,13,69910529,69910896,-0.7712162921
34394,13,71082292,71091210,-0.0915758058
19928,13,71102119,71102532,-0.0153418164
13133,13,71116642,71118155,-0.9449233431
21866,13,71116899,71117305,-0.3767574137
12028,13,71124307,71124652,-0.1528618609
29956,13,71130533,71131059,-0.7481547821
30013,13,71131748,71132792,-0.569423641
11094,13,71276608,71277010,0.0789486742
17267,13,71345864,71346390,-1.1497662557
28130,13,71370987,71388283,-0.7021757376
14485,13,72059940,72060111,-0.0773920882
21337,13,72066425,72066752,-0.6449242013
37341,13,72108095,72108449,-0.7158551148
23281,13,72176809,72177249,-0.5938282142
22667,13,72218274,72218515,-0.3562135215
5006,13,72459490,72460419,0.0552571149
12781,13,72927594,72927873,0.0176041263
39290,13,73656931,73657323,-0.5162374835
22910,13,73898119,73898566,-0.3936277395
9865,13,73898572,73909925,-0.323594315
34810,13,73967085,73978070,-0.1909947304
29329,13,73976936,73977131,0.0786743709
8626,13,73996717,73997228,0.1834193675
3168,13,74001372,74001701,-0.6475189264
8463,13,74180149,74191583,-0.2987262859
642,13,74211878,74212114,-0.1595796578
36837,13,74214074,74225477,-0.526222602
7094,13,74221246,74225388,-0.4020623172
2379,13,74231498,74232007,-0.2216640022
23318,13,75217813,75218101,-0.8736816703
1090,13,75253988,75254215,-0.0597439
27564,13,75371355,75371781,-0.2806948385
14167,13,75372982,75373468,-0.6215106445
13519,13,75374212,75374653,-0.2641097562
5499,13,75377395,75377858,-0.9741939402
4753,13,75379076,75379465,0.1279146626
3842,13,75469657,75470226,0.0300758325
28248,13,75470415,75470736,-0.3611097146
3713,13,76009304,76016709,-0.1972694742
1229,13,76136127,76136369,-1.2912240998
16659,13,76267616,76267907,-0.0811340785
35849,13,76270261,76273234,-0.1800159149
13546,13,76351902,76352235,0.1020136823
6184,13,76971307,76971704,-0.5252857359
30882,13,76991063,76991246,-0.5807712101
5763,13,76995854,76996135,0.0444567556
25061,13,77428422,77428795,-0.5958232917
14403,13,77686508,77687011,-0.4753669275
4552,13,77706478,77714898,-0.2596046097
14457,13,77716818,77730469,-0.341091385
11053,13,77777504,77777902,-1.2496675222
23347,13,77796122,77796488,0.2286833525
31967,13,77924754,77925058,-1.1765055762
25599,13,77925352,77925707,-0.7467936164
2193,13,77925749,77926160,-1.0333746748
14241,13,77927375,77927695,-0.2048961142
40390,13,77927872,77928210,-0.6776316959
41033,13,78708114,78708496,-0.4503479919
2469,13,79416383,79416821,0.0438527393
18971,13,82249343,82249689,-0.7307495225
24920,13,84164933,84165259,-0.7259982443
11215,13,84171022,84171497,-0.8931428524
39702,13,85607905,85607975,0.2018845942
1402,13,85823695,86021218,0.0166487092
24685,13,85958161,85958519,-0.4413481885
23182,13,86029383,86029870,-0.0807433876
34604,13,86046253,86046528,-0.2238847219
737,13,86151298,86154064,-0.225851806
32012,13,86892530,86892762,0.0526988997
40392,13,87564774,87564994,-0.0413227722
10889,13,89704680,89704832,-0.0693000378
18255,13,89722795,89723196,0.1642910159
23369,13,89722795,89723196,0.0855804085
7451,13,89869777,89870159,-0.0720882804
30147,13,89889671,89890126,0.3842442689
11015,13,90690050,90690857,-0.1306157181
25838,13,90740520,90740975,-0.0904985762
40918,13,91217018,91217891,0.0507408008
22347,13,91644916,91645364,0.2602118856
16951,13,91736136,91736371,-0.0271226095
16016,13,91798771,91799151,-0.1916698681
13530,13,91812525,91812981,-0.2166730043
11847,13,92121573,92121976,-0.0888509892
25932,13,92142971,92143357,-0.0558198684
2295,13,92405126,92405589,0.4852379354
7107,13,92757229,92757760,0.0975714812
38601,13,92788632,92789085,0.098256761
21879,13,92789842,92790333,0.0262468355
31366,13,92789843,92790444,0.0423819115
16792,13,92839553,92839584,0.0296172787
37821,13,92842435,92842740,0.3754509856
19250,13,92924309,92924803,-0.1554968112
39107,13,92926001,92926357,0.0511534403
41532,13,92926001,92926507,0.3297121465
4311,13,92926001,92926507,-0.1043002644
28862,13,93061888,93062345,-0.1678331259
32465,13,93370089,93370550,-0.2286339072
5592,13,93631140,93631297,-0.4069924718
33837,13,93632024,93632403,0.230290476
10681,13,93927485,93928438,0.6653709162
36612,13,93927510,93928490,-0.5393475439
38658,13,93931370,93931730,-0.021702952
29211,13,93932208,93935078,-0.1270598844
27662,13,93968817,93969277,-0.4695908376
26773,13,93980242,93991788,-0.1954732328
2278,13,94032721,94033213,0.0521671474
30952,13,94141545,94141977,1.4710314996
6289,13,94144854,94145243,0.2885859541
5459,13,94151378,94187457,0.1070713025
4567,13,94183206,94204608,0.0170391548
26743,13,94211114,94234781,-0.5762699033
30070,13,94265587,94265813,0.0360412987
31016,13,94274673,94274888,0.0862728079
16318,13,94296342,94296794,0.2053299092
1522,13,94296351,94296755,0.4071756359
18150,13,94335163,94335383,-0.0360441564
621,13,95187739,95188104,-0.3893497651
4125,13,95518980,95519414,0.1254016617
18702,13,95574672,95574884,-0.3898540835
20617,13,95606028,95606562,0.3923056006
39842,13,95628693,95629020,-0.0615738059
24974,13,95639784,95640196,-0.0394777544
37769,13,95677273,95677496,-0.2513387176
28771,13,95684653,95697270,-0.2818903254
27193,13,95693284,95697271,-0.2621693514
16944,13,95703996,95704294,0.0408490646
26639,13,95707751,95707936,0.1735623198
5703,13,95742261,95742732,-0.1520448759
9014,13,95742921,95743352,-0.038704827
6968,13,95784727,95785003,0.2243769695
7120,13,95784727,95785003,0.0502627971
7824,13,95784727,95785003,0.3605839803
33382,13,95815500,95815956,0.0198442876
35869,13,95816843,95817204,0.4115236167
20603,13,95819036,95819382,0.5619147784
21600,13,95898841,95899039,-0.5069683557
1045,13,96303961,96320055,0.2465114318
4454,13,96369902,96372553,-0.0421715499
21309,13,96374175,96374536,-0.093689521
19520,13,96615892,96616511,0.2250295508
14181,13,96757343,96757851,-0.1292464005
8683,13,96757343,96757851,0.649023015
20624,13,96757399,96757747,-0.2702165026
23759,13,96796350,96798697,0.4731597902
13974,13,96799539,96800024,0.1443410806
20408,13,96799540,96800027,-0.0086152616
25264,13,96802495,96802981,-0.5580441658
965,13,96802877,96803300,-0.1237178177
35370,13,96805686,96805991,-0.0342212584
11971,13,96806236,96806817,-0.2415496209
32843,13,96853297,96853813,-0.000597993
3515,13,97034387,97034807,0.050421171
21172,13,97143771,97144212,0.0980488867
39128,13,97154010,97154225,0.267959201
31786,13,97199701,97199978,0.0678537582
39543,13,97210456,97210770,-0.2955097435
41696,13,97210456,97210770,0.4916760192
39640,13,97438557,97438875,0.4390853486
41247,13,97588681,97588809,0.6323063919
5127,13,97591091,97591537,-0.980577336
29014,13,97604993,97605467,-0.0588898055
19295,13,97644793,97645244,-0.0471868829
13951,13,97736294,97736682,0.3639565153
17912,13,97884331,97884683,0.0078639626
30518,13,97913251,97913646,-0.2537068536
38017,13,98076501,98077530,-0.0845080736
40688,13,98084404,98084658,-0.244592805
31796,13,98221885,98222248,-0.1417674188
19184,13,98333177,98335747,0.4213000426
38850,13,98336107,98336525,-0.14358479
34355,13,98336599,98337001,0.0523264859
17546,13,98865682,98880576,0.3557239323
6912,13,98881830,98882213,0.2556005814
10395,13,98882036,98882370,1.1574722005
28282,13,98882744,98934214,0.1547142406
23966,13,98890783,98891254,0.1337381738
10652,13,98954187,98954512,-0.3042224774
12937,13,98975031,98975368,-0.3761266006
18011,13,99409223,99409639,0.1193125469
16908,13,100042934,100043295,0.3631702415
18189,13,100055688,100055964,0.0308889794
21339,13,100062425,100062841,-0.0039547948
38977,13,100063443,100063794,-0.1315891877
8821,13,100066558,100066795,0.534430859
33895,13,100067601,100068049,0.0952219067
22581,13,100067649,100068049,0.3512330621
36787,13,100070467,100070902,0.0542725693
39556,13,100072188,100072585,0.2820410208
39429,13,100072219,100072611,-0.1563607654
24219,13,100745719,100746055,-0.1215648999
15426,13,100939722,100940164,-0.4926365367
21753,13,101029161,101029599,0.151007655
22609,13,101029161,101029599,0.6286750341
25353,13,101029161,101029599,0.1989636384
24848,13,101036356,101036768,-0.2849080816
14025,13,101116465,101117700,-0.4169627629
31846,13,101134631,101139465,0.2520610495
36407,13,101142326,101142630,-0.7760508818
31789,13,101190189,101190483,0.0658903117
16912,13,101190634,101191035,-0.0087467236
10747,13,101190802,101191218,0.0151646464
